label,cytokine,clip_pct,clip_max,global_min,global_max,mean,sparsity_pct
ICCS2026_v2/scan_iteration_0/preprocessed/500x500,il8,100.0,6.935829688359263e-09,0.0,6.935829688359263e-09,7.088641895691694e-10,0.005231683168316832
ICCS2026_v2/scan_iteration_0/preprocessed/500x500,il1,98.5,1.695736606688314e-10,0.0,3.843684925897151e-09,3.236926351957159e-11,3.3318495049504953
ICCS2026_v2/scan_iteration_0/preprocessed/500x500,il6,98.0,9.576878179373693e-11,0.0,5.555728321837705e-09,9.627591258942747e-12,10.288700990099011
ICCS2026_v2/scan_iteration_0/preprocessed/500x500,il10,98.0,1.8423750372531522e-11,0.0,1.3544461108239148e-09,1.7360981359113015e-12,20.51412673267327
ICCS2026_v2/scan_iteration_0/preprocessed/500x500,tnf,99.5,2.9441999949142428e-09,0.0,1.1264007504507845e-08,5.282256576588651e-11,8.635053465346534
ICCS2026_v2/scan_iteration_0/preprocessed/500x500,tgf,99.5,8.552515362580948e-10,0.0,6.491861714863489e-09,1.0760909524565321e-10,6.648035643564357
ICCS2026_v2/scan_iteration_1/preprocessed/500x500,il8,100.0,1.8902120757502416e-08,0.0,1.8902120757502416e-08,3.4891043387830223e-09,0.006823762376237624
ICCS2026_v2/scan_iteration_1/preprocessed/500x500,il1,98.5,1.840819718879061e-10,0.0,7.57156382036328e-09,3.594492412051231e-11,3.43649900990099
ICCS2026_v2/scan_iteration_1/preprocessed/500x500,il6,98.0,9.529301653321554e-11,0.0,4.788649921039223e-09,9.227241366815964e-12,15.628289108910892
ICCS2026_v2/scan_iteration_1/preprocessed/500x500,il10,98.0,1.7894510526139662e-11,0.0,1.2816180339214611e-09,1.6638959090750638e-12,26.70593663366337
ICCS2026_v2/scan_iteration_1/preprocessed/500x500,tnf,98.5,9.110062149098042e-10,0.0,4.644476447879242e-08,5.78956188546087e-11,9.68999207920792
ICCS2026_v2/scan_iteration_1/preprocessed/500x500,tgf,99.5,8.596554024187242e-10,0.0,5.803562963535569e-09,1.0642183662090687e-10,8.308229702970298
