Grid,Cytokine,Raw_Max,Raw_Min,Raw_Mean,NonZero_Mean,Sparsity_Pct,Order_of_Mag
100,il8,1.4051441894e-06,1.1975405311e-29,8.949042942860889e-08,8.949042942860889e-08,0.0,-6
100,il1,1.5994827152e-07,4.404205831e-15,7.047458729139381e-09,7.047458729139381e-09,0.0,-7
100,il6,1.0247973137e-07,5.7445022065e-36,1.1567061020781122e-09,1.1567061020781122e-09,0.0,-7
100,il10,1.8569414451e-08,0.0,2.082984061366711e-10,2.0854866453411207e-10,0.11999999999999789,-8
100,tnf,5.7546589005e-07,7.4619091619e-28,1.0828160056086198e-08,1.0828160056086198e-08,0.0,-7
100,tgf,2.5267763704e-07,5.332018934e-16,1.0564420545942984e-08,1.0564420545942984e-08,0.0,-7
250,il8,5.9098734795e-08,1.161410502e-22,5.774173785607688e-09,5.774173785607688e-09,0.0,-8
250,il1,1.3549411371e-08,1.1656624322e-14,3.7397143009091543e-10,3.7397143009091543e-10,0.0,-8
250,il6,1.5751417948e-08,4.0440823478e-38,9.643251982617782e-11,9.643251982617782e-11,0.0,-8
250,il10,4.3237684544e-09,0.0,1.7388367098839254e-11,1.74843210527769e-11,0.5488000000000048,-9
250,tnf,4.4395239485e-08,2.1132654026e-34,5.819743108772677e-10,5.819743108772677e-10,0.0,-8
250,tgf,2.6766167949e-08,6.5174639107e-17,7.837955507843355e-10,7.837955507843355e-10,0.0,-8
500,il8,6.0021227988e-09,3.0907639686e-23,7.254048503255651e-10,7.254048503255651e-10,0.0,-9
500,il1,2.3167467944e-09,6.4435693073e-24,3.857507089653524e-11,3.857507089653524e-11,0.0,-9
500,il6,3.5954419442e-09,0.0,1.1063130521613767e-11,1.1227865768164271e-11,1.4672000000000018,-9
500,il10,8.8709029011e-10,0.0,1.9950506280471702e-12,2.236613872760831e-12,10.8004,-10
500,tnf,7.4777455339e-09,0.0,5.990440061011893e-11,6.083814445115527e-11,1.5348000000000028,-9
500,tgf,3.5934006881e-09,5.9046853887e-31,8.6629296386854e-11,8.6629296386854e-11,0.0,-9
50,il8,1.0906323041e-05,1.6821273619e-22,6.894183934227537e-07,6.894183934227537e-07,0.0,-5
50,il1,2.4137627861e-06,1.9563060594e-19,2.4639141667956112e-08,2.4639141667956112e-08,0.0,-6
50,il6,7.4466998967e-07,4.203895393e-45,7.538321210268025e-09,7.538321210268025e-09,0.0,-7
50,il10,1.359725843e-07,0.0,1.3580159164078551e-09,1.366213195581343e-09,0.6000000000000005,-7
50,tnf,4.6443610699e-06,6.2013553453e-34,3.9463631288431884e-08,3.9463631288431884e-08,0.0,-6
50,tgf,2.2881711175e-06,4.2025447034e-16,7.64693414027593e-08,7.64693414027593e-08,0.0,-6
